('0', '23')
('1', '229')
('2', '505')
('3', '535')
('4', '662')
('5', '940')
('6', '1146')
('7', '1273')
('8', '1272')
('9', '1241')
('10', '1510')
('11', '1509')
('12', '1779')
('13', '2666')
('14', '3366')
('15', '3497')
('16', '3496')
('17', '3051')
('18', '4259')
('19', '3832')
('20', '3524')
('21', '3973')
('22', '3787')
('23', '4274')
('24', '4126')
('25', '4279')
('26', '4270')
('27', '4265')
('28', '4278')
('29', '4284')
('30', '4271')
('31', '4287')
('32', '4291')
('33', '4285')
('34', '4282')
('35', '4289')
('36', '4293')
('37', '4300')
('38', '4299')
('39', '4286')
('40', '4298')
('41', '4294')
('42', '4297')
('43', '4295')
('44', '4304')
('45', '4306')
('46', '4307')
('47', '4310')
('48', '4311')
('49', '4308')
('50', '4314')
('51', '4312')
