('0', '4')
('1', '11')
('2', '7')
('3', '5')
('4', '21')
('5', '1')
('6', '3')
('7', '28')
('8', '14')
('9', '6')
('10', '0')
('11', '16')
('12', '17')
('13', '2')
('14', '23')
('15', '22')
('16', '13')
('17', '25')
('18', '15')
('19', '29')
('20', '33')
('21', '24')
('22', '26')
('23', '10')
('24', '39')
('25', '18')
('26', '37')
('27', '19')
('28', '32')
('29', '48')
('30', '27')
('31', '44')
('32', '34')
('33', '20')
('34', '30')
('35', '35')
('36', '38')
('37', '49')
('38', '60')
('39', '36')
('40', '45')
('41', '31')
('42', '51')
('43', '42')
('44', '47')
('45', '46')
('46', '41')
('47', '52')
('48', '58')
('49', '50')
('50', '56')
('51', '40')
('52', '53')
('53', '65')
('54', '68')
('55', '57')
('56', '54')
('57', '62')
('58', '67')
('59', '77')
('60', '61')
('61', '73')
('62', '75')
('63', '63')
('64', '70')
('65', '66')
('66', '72')
('67', '71')
('68', '59')
('69', '81')
('70', '76')
('71', '64')
('72', '74')
('73', '55')
('74', '79')
('75', '87')
('76', '86')
('77', '69')
('78', '82')
('79', '91')
('80', '93')
('81', '88')
('82', '84')
('83', '80')
('84', '78')
('85', '99')
('86', '102')
('87', '89')
('88', '108')
('89', '100')
('90', '96')
('91', '94')
('92', '83')
('93', '105')
('94', '114')
('95', '98')
('96', '104')
('97', '95')
('98', '115')
('99', '101')
('100', '112')
('101', '118')
('102', '107')
('103', '103')
('104', '113')
('105', '110')
('106', '116')
('107', '97')
('108', '111')
('109', '121')
('110', '160')
('111', '140')
('112', '123')
('113', '106')
('114', '119')
('115', '122')
('116', '141')
('117', '124')
('118', '117')
('119', '148')
('120', '133')
('121', '109')
('122', '127')
('123', '138')
('124', '150')
('125', '145')
('126', '147')
('127', '142')
('128', '135')
('129', '126')
('130', '146')
('131', '149')
('132', '156')
('133', '139')
('134', '169')
('135', '144')
('136', '165')
('137', '151')
('138', '132')
('139', '158')
('140', '157')
('141', '153')
('142', '120')
('143', '164')
('144', '154')
('145', '143')
('146', '155')
('147', '137')
('148', '136')
('149', '129')
('150', '177')
('151', '168')
('152', '163')
('153', '159')
('154', '180')
('155', '131')
('156', '134')
('157', '174')
('158', '175')
('159', '179')
('160', '181')
('161', '161')
('162', '185')
('163', '128')
('164', '172')
('165', '173')
('166', '183')
('167', '166')
('168', '162')
('169', '167')
('170', '176')
('171', '171')
('172', '152')
('173', '184')
('174', '178')
('175', '190')
('176', '188')
('177', '192')
('178', '191')
('179', '182')
('180', '186')
('181', '193')
